"754011816964026368_[{'code': 144, 'message': 'No status found with that ID.'}]","770743923962707968_[{'code': 144, 'message': 'No status found with that ID.'}]","775096608509886464_[{'code': 144, 'message': 'No status found with that ID.'}]","802247111496568832_[{'code': 144, 'message': 'No status found with that ID.'}]","827228250799742977_[{'code': 144, 'message': 'No status found with that ID.'}]","837012587749474308_[{'code': 144, 'message': 'No status found with that ID.'}]","842892208864923648_[{'code': 144, 'message': 'No status found with that ID.'}]","845459076796616705_[{'code': 144, 'message': 'No status found with that ID.'}]","861769973181624320_[{'code': 144, 'message': 'No status found with that ID.'}]","866816280283807744_[{'code': 144, 'message': 'No status found with that ID.'}]","869988702071779329_[{'code': 144, 'message': 'No status found with that ID.'}]","873697596434513921_[{'code': 144, 'message': 'No status found with that ID.'}]","888202515573088257_[{'code': 144, 'message': 'No status found with that ID.'}]"
"{'media': [{'id': 754120358878412800, 'id_str': '754120358878412800', 'indices': [110, 133], 'media_url': 'http://pbs.twimg.com/media/CncseIzWgAA4ghH.jpg', 'media_url_https': 'https://pbs.twimg.com/media/CncseIzWgAA4ghH.jpg', 'url': 'https://t.co/lFEoGqZ4oA', 'display_url': 'pic.twitter.com/lFEoGqZ4oA', 'expanded_url': 'https://twitter.com/dog_rates/status/754120377874386944/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 576, 'h': 1024, 'resize': 'fit'}, 'small': {'w': 383, 'h': 680, 'resize': 'fit'}, 'large': {'w': 576, 'h': 1024, 'resize': 'fit'}}}]}","{'media': [{'id': 770772746032873472, 'id_str': '770772746032873472', 'indices': [108, 131], 'media_url': 'http://pbs.twimg.com/media/CrJVupHXgAA4Dkk.jpg', 'media_url_https': 'https://pbs.twimg.com/media/CrJVupHXgAA4Dkk.jpg', 'url': 'https://t.co/lqr0NdtwQo', 'display_url': 'pic.twitter.com/lqr0NdtwQo', 'expanded_url': 'https://twitter.com/dog_rates/status/770772759874076672/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 640, 'h': 755, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 640, 'h': 755, 'resize': 'fit'}, 'small': {'w': 576, 'h': 680, 'resize': 'fit'}}}]}",,"{'media': [{'id': 802265039247904768, 'id_str': '802265039247904768', 'indices': [46, 69], 'media_url': 'http://pbs.twimg.com/media/CyI3zXgWEAACQfB.jpg', 'media_url_https': 'https://pbs.twimg.com/media/CyI3zXgWEAACQfB.jpg', 'url': 'https://t.co/9IxWAXFqze', 'display_url': 'pic.twitter.com/9IxWAXFqze', 'expanded_url': 'https://twitter.com/dog_rates/status/802265048156610565/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 898, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 509, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1532, 'h': 2048, 'resize': 'fit'}}}]}","{'media': [{'id': 827324936784117760, 'id_str': '827324936784117760', 'indices': [128, 151], 'media_url': 'http://pbs.twimg.com/media/C3s_pYrXAAA1eqZ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/C3s_pYrXAAA1eqZ.jpg', 'url': 'https://t.co/UU3KqQF5n5', 'display_url': 'pic.twitter.com/UU3KqQF5n5', 'expanded_url': 'https://twitter.com/dog_rates/status/827324948884643840/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 1125, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1920, 'resize': 'fit'}, 'small': {'w': 680, 'h': 638, 'resize': 'fit'}}}]}","{'media': [{'id': 837110202889617409, 'id_str': '837110202889617409', 'indices': [81, 104], 'media_url': 'http://pbs.twimg.com/media/C54DS1kXQAEU5pS.jpg', 'media_url_https': 'https://pbs.twimg.com/media/C54DS1kXQAEU5pS.jpg', 'url': 'https://t.co/7pUjwe8X6B', 'display_url': 'pic.twitter.com/7pUjwe8X6B', 'expanded_url': 'https://twitter.com/dog_rates/status/837110210464448512/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 545, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1640, 'h': 2048, 'resize': 'fit'}, 'medium': {'w': 961, 'h': 1200, 'resize': 'fit'}}}]}","{'media': [{'id': 843235535846031360, 'id_str': '843235535846031360', 'indices': [119, 142], 'media_url': 'http://pbs.twimg.com/media/C7PGQJAWwAAibui.jpg', 'media_url_https': 'https://pbs.twimg.com/media/C7PGQJAWwAAibui.jpg', 'url': 'https://t.co/DKwp2ByMsL', 'display_url': 'pic.twitter.com/DKwp2ByMsL', 'expanded_url': 'https://twitter.com/dog_rates/status/843235543001513987/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1535, 'h': 2048, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 899, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}}}, {'id': 843235535846105088, 'id_str': '843235535846105088', 'indices': [119, 142], 'media_url': 'http://pbs.twimg.com/media/C7PGQJAX4AArEg7.jpg', 'media_url_https': 'https://pbs.twimg.com/media/C7PGQJAX4AArEg7.jpg', 'url': 'https://t.co/DKwp2ByMsL', 'display_url': 'pic.twitter.com/DKwp2ByMsL', 'expanded_url': 'https://twitter.com/dog_rates/status/843235543001513987/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 899, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1535, 'h': 2048, 'resize': 'fit'}}}, {'id': 843235535837716480, 'id_str': '843235535837716480', 'indices': [119, 142], 'media_url': 'http://pbs.twimg.com/media/C7PGQI-X4AAM3nq.jpg', 'media_url_https': 'https://pbs.twimg.com/media/C7PGQI-X4AAM3nq.jpg', 'url': 'https://t.co/DKwp2ByMsL', 'display_url': 'pic.twitter.com/DKwp2ByMsL', 'expanded_url': 'https://twitter.com/dog_rates/status/843235543001513987/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 899, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1535, 'h': 2048, 'resize': 'fit'}}}]}","{'media': [{'id': 845677937315713024, 'id_str': '845677937315713024', 'indices': [122, 145], 'media_url': 'http://pbs.twimg.com/media/C7xzmngWkAAAp9C.jpg', 'media_url_https': 'https://pbs.twimg.com/media/C7xzmngWkAAAp9C.jpg', 'url': 'https://t.co/z30iQLiXNo', 'display_url': 'pic.twitter.com/z30iQLiXNo', 'expanded_url': 'https://twitter.com/dog_rates/status/845677943972139009/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 900, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1536, 'h': 2048, 'resize': 'fit'}}}]}","{'media': [{'id': 862096984366354432, 'id_str': '862096984366354432', 'indices': [108, 131], 'media_url': 'http://pbs.twimg.com/media/C_bIo8MXkAA3xBK.jpg', 'media_url_https': 'https://pbs.twimg.com/media/C_bIo8MXkAA3xBK.jpg', 'url': 'https://t.co/nvZyyrp0kd', 'display_url': 'pic.twitter.com/nvZyyrp0kd', 'expanded_url': 'https://twitter.com/dog_rates/status/862096992088072192/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 901, 'h': 1600, 'resize': 'fit'}, 'small': {'w': 383, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 676, 'h': 1200, 'resize': 'fit'}}}, {'id': 862096984114683904, 'id_str': '862096984114683904', 'indices': [108, 131], 'media_url': 'http://pbs.twimg.com/media/C_bIo7QXYAAGfPu.jpg', 'media_url_https': 'https://pbs.twimg.com/media/C_bIo7QXYAAGfPu.jpg', 'url': 'https://t.co/nvZyyrp0kd', 'display_url': 'pic.twitter.com/nvZyyrp0kd', 'expanded_url': 'https://twitter.com/dog_rates/status/862096992088072192/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 901, 'h': 1600, 'resize': 'fit'}, 'small': {'w': 383, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 676, 'h': 1200, 'resize': 'fit'}}}]}","{'media': [{'id': 867051512509460480, 'id_str': '867051512509460480', 'indices': [133, 156], 'media_url': 'http://pbs.twimg.com/media/DAhiwb0XcAA8x5Q.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DAhiwb0XcAA8x5Q.jpg', 'url': 'https://t.co/M5Rz0R8SIQ', 'display_url': 'pic.twitter.com/M5Rz0R8SIQ', 'expanded_url': 'https://twitter.com/dog_rates/status/867051520902168576/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1200, 'h': 1199, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1601, 'h': 1600, 'resize': 'fit'}}}]}","{'media': [{'id': 870063191304392704, 'id_str': '870063191304392704', 'indices': [141, 164], 'media_url': 'http://pbs.twimg.com/media/DBMV3NnXUAAm0Pp.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DBMV3NnXUAAm0Pp.jpg', 'url': 'https://t.co/apVOyDgOju', 'display_url': 'pic.twitter.com/apVOyDgOju', 'expanded_url': 'https://twitter.com/dog_rates/status/870063196459192321/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1014, 'h': 761, 'resize': 'fit'}, 'small': {'w': 680, 'h': 510, 'resize': 'fit'}, 'large': {'w': 1014, 'h': 761, 'resize': 'fit'}}}, {'id': 870063191308611585, 'id_str': '870063191308611585', 'indices': [141, 164], 'media_url': 'http://pbs.twimg.com/media/DBMV3NoXsAE3tXJ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DBMV3NoXsAE3tXJ.jpg', 'url': 'https://t.co/apVOyDgOju', 'display_url': 'pic.twitter.com/apVOyDgOju', 'expanded_url': 'https://twitter.com/dog_rates/status/870063196459192321/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1746, 'h': 2048, 'resize': 'fit'}, 'small': {'w': 580, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1023, 'h': 1200, 'resize': 'fit'}}}]}","{'media': [{'id': 874012990328197120, 'id_str': '874012990328197120', 'indices': [140, 163], 'media_url': 'http://pbs.twimg.com/media/DCEeLxmW0AAHXNk.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DCEeLxmW0AAHXNk.jpg', 'url': 'https://t.co/XBE0evJZ6V', 'display_url': 'pic.twitter.com/XBE0evJZ6V', 'expanded_url': 'https://twitter.com/dog_rates/status/874012996292530176/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1599, 'h': 1117, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 838, 'resize': 'fit'}, 'small': {'w': 680, 'h': 475, 'resize': 'fit'}}}, {'id': 874012990315671552, 'id_str': '874012990315671552', 'indices': [140, 163], 'media_url': 'http://pbs.twimg.com/media/DCEeLxjXsAAvNSM.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DCEeLxjXsAAvNSM.jpg', 'url': 'https://t.co/XBE0evJZ6V', 'display_url': 'pic.twitter.com/XBE0evJZ6V', 'expanded_url': 'https://twitter.com/dog_rates/status/874012996292530176/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 1199, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1601, 'h': 1600, 'resize': 'fit'}}}]}","{'media': [{'id': 888554915546542081, 'id_str': '888554915546542081', 'indices': [88, 111], 'media_url': 'http://pbs.twimg.com/media/DFTH_OiUMAE-k4M.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DFTH_OiUMAE-k4M.jpg', 'url': 'https://t.co/YnYAFCTTiK', 'display_url': 'pic.twitter.com/YnYAFCTTiK', 'expanded_url': 'https://twitter.com/dog_rates/status/888554962724278272/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1600, 'h': 1016, 'resize': 'fit'}, 'small': {'w': 680, 'h': 432, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 762, 'resize': 'fit'}}}, {'id': 888554915546537985, 'id_str': '888554915546537985', 'indices': [88, 111], 'media_url': 'http://pbs.twimg.com/media/DFTH_OiUIAEZ7sd.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DFTH_OiUIAEZ7sd.jpg', 'url': 'https://t.co/YnYAFCTTiK', 'display_url': 'pic.twitter.com/YnYAFCTTiK', 'expanded_url': 'https://twitter.com/dog_rates/status/888554962724278272/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 445, 'resize': 'fit'}, 'large': {'w': 1600, 'h': 1047, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 785, 'resize': 'fit'}}}, {'id': 888554915663986688, 'id_str': '888554915663986688', 'indices': [88, 111], 'media_url': 'http://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg', 'url': 'https://t.co/YnYAFCTTiK', 'display_url': 'pic.twitter.com/YnYAFCTTiK', 'expanded_url': 'https://twitter.com/dog_rates/status/888554962724278272/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 742, 'resize': 'fit'}, 'large': {'w': 1600, 'h': 989, 'resize': 'fit'}, 'small': {'w': 680, 'h': 420, 'resize': 'fit'}}}, {'id': 888554915664076800, 'id_str': '888554915664076800', 'indices': [88, 111], 'media_url': 'http://pbs.twimg.com/media/DFTH_O-VoAA0M6k.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DFTH_O-VoAA0M6k.jpg', 'url': 'https://t.co/YnYAFCTTiK', 'display_url': 'pic.twitter.com/YnYAFCTTiK', 'expanded_url': 'https://twitter.com/dog_rates/status/888554962724278272/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1600, 'h': 958, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 719, 'resize': 'fit'}, 'small': {'w': 680, 'h': 407, 'resize': 'fit'}}}]}"
8419,5607,10992,6910,17044,17031,22713,26467,76016,32605,36860,34604,19808
False,False,False,False,False,False,False,False,False,False,False,False,False
"When you hear your owner say they need to hatch another egg, but you've already been on 17 walks today. 10/10 https://t.co/lFEoGqZ4oA",This is Sebastian. He's super h*ckin fluffy. That's really all you need to know. 11/10 would snug intensely https://t.co/lqr0NdtwQo,This is Maximus. A little rain won't stop him. He will persevere. 12/10 innovative af  https://t.co/2OmDMAkkou,"Like doggo, like pupper version 2. Both 11/10 https://t.co/9IxWAXFqze","This is Ralphie. He's being treated for an overactive funny bone, which is no joke. 12/10 would try to pet with a straight face https://t.co/UU3KqQF5n5",This is Clark. He passed pupper training today. Round of appaws for Clark. 13/10 https://t.co/7pUjwe8X6B,This is Tycho. She just had new wheels installed. About to do a zoom. 0-60 in 2.4 seconds. 13/10 inspirational as h*ck https://t.co/DKwp2ByMsL,"C'mon guys. Please only send in dogs. We only rate dogs, not Exceptional-Tongued Peruvian Floor Bears. Thank you... 12/10 https://t.co/z30iQLiXNo",We only rate dogs. Please don't send perfectly toasted marshmallows attempting to drive. Thank you... 13/10 https://t.co/nvZyyrp0kd,"Oh my this spooked me up. We only rate dogs, not happy ghosts. Please send dogs only. It's a very simple premise. Thank you... 13/10 https://t.co/M5Rz0R8SIQ",Meet Clifford. He's quite large. Also red. Good w kids. Somehow never steps on them. Massive poops very inconvenient. Still 14/10 would ride https://t.co/apVOyDgOju,"This is Sebastian. He can't see all the colors of the rainbow, but he can see that this flag makes his human happy. 13/10 #PrideMonth puppo https://t.co/XBE0evJZ6V",This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK
,,,,,,,,,,,,
754120377874386944,770772759874076672,775350846108426240,802265048156610565,827324948884643840,837110210464448512,843235543001513987,845677943972139009,862096992088072192,867051520902168576,870063196459192321,874012996292530176,888554962724278272
754120377874386944,770772759874076672,775350846108426240,802265048156610565,827324948884643840,837110210464448512,843235543001513987,845677943972139009,862096992088072192,867051520902168576,870063196459192321,874012996292530176,888554962724278272
,,,dog_rates,,,,,,,,,
,,,733109485275860992,,,,,,,,,
,,,733109485275860992,,,,,,,,,
,,,4196983835,,,,,,,,,
,,,4196983835,,,,,,,,,
False,False,False,False,False,False,False,False,False,False,False,False,False
en,en,en,en,en,en,en,en,en,en,en,en,en
,,,,,,,,,,,,
